Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Makanan Minuman Jadi Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Simeulue,28183,98,573,494,3800,1552,54,233,89,725,2129,717,2298,27,365,697,2654,584,1160,1389,522,33,9,184,177,34,2094,217,306,4043,589,337,-
Aceh Singkil,33270,459,1637,725,1942,2483,83,550,820,1146,1496,822,1333,508,547,894,3898,747,2778,1273,357,1001,171,579,351,287,1070,219,214,2942,1337,555,44
Aceh Selatan,31992,227,910,458,2826,2463,71,328,245,6283,1332,291,714,162,167,538,4297,680,1524,138,374,52,96,770,228,344,904,380,430,3507,959,292,5
Aceh Tenggara,35208,189,854,609,1339,2920,27,511,240,615,1628,1777,3006,290,714,508,3671,624,2184,975,662,1192,123,1562,444,268,411,416,401,5350,862,442,392
Aceh Timur,43437,412,1101,638,2601,2907,116,992,553,2854,3306,541,2842,113,591,838,5550,882,1961,435,343,901,230,1228,201,415,898,506,509,6754,1922,289,6
Aceh Tengah,44200,146,1431,1761,2979,3270,198,300,889,6075,1393,643,1754,421,440,901,6722,349,3811,368,301,798,322,2653,268,257,479,176,502,3492,970,130,0
Aceh Barat,64112,188,2441,1421,3493,3989,219,597,451,12707,3540,762,1482,436,772,603,7736,1152,3998,251,1057,283,97,1137,823,295,1540,535,883,8733,1187,1298,6
Aceh Besar,56792,278,1629,1701,4298,3245,225,425,277,2579,3567,2041,2639,148,1335,738,4949,930,2660,2461,1651,557,287,2688,832,654,2318,527,828,8430,1137,757,3
